ROLL	Student_ID	Mark1	Mark2	Mark3	Mark4	Mark5
152211	1	50	70	60	30	80
151123	2	51	71	61	31	81
153416	3	52	72	62	32	82
152517	4	53	73	63	33	83
153214	5	54	74	64	34	84
152801	6	55	75	65	35	85
153103	7	56	76	66	36	86
156211	8	57	77	67	37	87
154133	9	58	78	68	38	88
152425	10	59	79	69	39	89
153444	11	60	80	70	50	30
345432	12	61	81	71	51	31
156666	13	62	82	72	52	32
146783	14	63	83	73	53	33
123456	15	64	84	74	54	34
123426	16	65	85	75	55	35
151233	17	66	86	76	56	36
331145	18	67	87	77	57	37
156783	19	68	88	78	58	38
123454	20	69	89	79	70	54
167895	21	70	90	80	71	55
124566	22	71	91	81	72	56
156787	23	72	92	82	73	57
156788	24	73	93	83	74	58
156789	25	74	94	84	75	59
156710	26	75	95	85	76	60
158711	27	76	96	86	77	61
158712	28	77	97	87	78	62
158713	29	78	98	88	79	63
158714	30	79	99	89	80	64
158715	31	80	45	90	81	65
158716	32	81	46	91	82	66
158717	33	82	47	92	83	67
158718	34	83	48	93	84	68
158719	35	84	49	94	85	69
158720	36	85	50	95	86	70
158721	37	86	51	96	87	71
158722	38	87	52	87	88	72
158723	39	88	53	98	89	73
158724	40	54	78	65	90	40
158725	41	65	79	66	91	41
158726	42	56	80	67	92	42
158727	43	57	83	68	42	43
158728	44	78	81	69	76	44
158729	45	59	83	70	95	45
158730	46	60	84	71	67	46
158731	47	61	87	72	67	47
158732	48	62	86	73	38	48
158733	49	63	87	72	65	49
158734	50	54	76	63	65	50
