ROLL	Mark1	Mark2	Mark3	Mark4	Mark5
152211	50	70	60	30	80
151123	51	71	61	31	81
153416	52	72	62	32	82
152517	53	73	63	33	83
153214	54	74	64	34	84
152801	55	75	65	35	85
153103	56	76	66	36	86
156211	57	77	67	37	87
154133	58	78	68	38	88
152425	59	79	69	39	89
153444	60	80	70	50	30
345432	61	81	71	51	31
156666	62	82	72	52	32
146783	63	83	73	53	33
123456	64	84	74	54	34
12342 65	85	75	55	35
151233	66	86	76	56	36
331145	67	87	77	57	37
156783	68	88	78	58	38
123454	69	89	79	70	54
167895	70	90	80	71	55
124566	71	91	81	72	56
156787	72	92	82	73	57
156788	73	93	83	74	58
156789	74	94	84	75	59
156710	75	95	85	76	60
158711	76	96	86	77	61
158712	77	97	87	78	62
158713	78	98	88	79	63
158714	79	99	89	80	64
158715	80	45	90	81	65
158716	81	46	91	82	66
158717	82	47	92	83	67
158718	83	48	93	84	68
158719	84	49	94	85	69
158720	85	50	95	86	70
158721	86	51	96	87	71
158722	87	52	97	88	72
158723	88	53	98	89	73
